,map_name,file_names,slope_0.2,norm_slope_0.2,curvature,curvature_linear,curvature_shift,norm_curvature,norm_curvature_linear,norm_curvature_shift,work_total,work_elastic,work_plastic,work_ratio,h_ratio,Er(GPa),H(GPa),mN,Y_name
351,BV-map2-3mN,3s-a9-b-map2-curves_0217.txt,117595.13407512722,3.731578551436789,177277.77635524268,15444.611883961354,35.99507385817137,0.5326264119068843,0.4889184079542458,0.0120058649245915,123.59165680904056,38.64826876832976,84.9433880407108,0.6872906329911528,0.5481538238561711,223.822851,10.387747,3,mc-matrix
352,BV-map2-3mN,3s-a9-b-map2-curves_0348.txt,114070.01342531617,3.603622978881436,175538.87806333863,15756.10300934436,10.35104346491746,0.5279558047286923,0.4990363803418086,0.0034524435623124,119.322417515278,36.2039051177794,83.11851239749859,0.6965875660946622,0.3587930502897827,223.285678,10.360574,3,matrix
353,LCV-map1-3mN,LCV-7-map1-indent_0193.txt,83777.16170377584,1.637756626567826,153876.8336095964,44497.7664301704,-72.35104937696045,0.1750441859413575,0.8667343519615829,-0.0241304830948301,80.06672662039452,49.99864979088581,30.068076829508712,0.3755377308237527,0.7454205547149589,268.885012,29.424964,3,mc
354,LCV-map2-3mN,LCV-8-map2-indent_0021.txt,87581.72957908125,1.6580935025716397,187699.85990634368,45013.13865758542,-87.73341526399703,0.1997756486582082,0.8480860774892758,-0.0292609020238139,77.25133222300738,50.489366678026514,26.761965544980868,0.3464272365908854,0.702305588708762,285.778816,30.132402,3,mc
355,LCV-map1-3mN,LCV-7-map1-indent_0345.txt,112792.38612966736,3.588721093897863,150454.76396695292,17674.731632822626,5.261443570870902,0.4551834087918948,0.5614471102325661,0.0017548264508384,123.23411094371652,40.53984229521251,82.69426864850402,0.6710339208457644,0.3685323907879485,219.786114,10.531615,3,matrix
356,LCV-map1-3mN,LCV-7-map1-indent_0019.txt,110325.7449818612,3.5309342382355258,155305.5406432614,16820.367783010122,18.57521676373217,0.4732995352768689,0.5362622696292136,0.0061953791742566,124.15569158151386,44.95635718980998,79.19933439170389,0.6379033726352039,0.6218764793648577,214.202665,10.462867,3,matrix
357,LCV-map1-3mN,LCV-7-map1-indent_0336.txt,84718.69926812922,1.733423133431081,177165.6108752479,40925.9666538978,-66.05474117451203,0.2166124309536772,0.8264521128331954,-0.0220311701530915,82.35704277007622,55.07338472927471,27.283658040801512,0.3312850622498895,0.897809953994237,264.535118,26.82963,3,mc
358,SV-map1-3mN,SV-7-map1-indents_0377.txt,99376.25279359629,3.2087116071456685,149944.0016863426,17209.87373464113,32.63778593722088,0.4634512190807348,0.5525704519521059,0.0108859369695454,125.63546700675882,44.9922002848872,80.64326672187161,0.6418829701769903,0.6111779918043563,196.365207,10.894095,3,matrix
359,LCV-map1-3mN,LCV-7-map1-indent_0317.txt,115736.6805583563,3.751179510009771,171395.91844621202,14892.542420180793,-7.206191117562255,0.5375597357315981,0.4816651921990948,-0.002403429406523,120.07256499322922,39.18726417534323,80.88530081788599,0.673636819721866,0.4142136520751372,214.37801,10.229281,3,matrix
360,LCV-map1-3mN,LCV-7-map1-indent_0257.txt,118347.33709278965,3.622049410159162,190115.2693000508,15709.622311401754,44.60912229228136,0.5287981177579326,0.4784848724930598,0.0148783805869181,114.05875229781005,39.56532674332942,74.49342555448062,0.6531145050576791,0.549354969861187,238.694558,11.191967,3,matrix
361,SV-matrix2-10mN,SV-5-10mNim_20230809_1820_00021 LC.txt,170015.9824052631,3.605564770259403,153315.9948666693,15827.567820146542,57.12829869572785,0.6665293193295173,0.3301046723530181,0.0057160328192264,845.365109536956,289.8286219385303,555.5364875984257,0.6571556849592689,0.3308440439517989,178.481667,9.895243,10,matrix
362,BV-map1-5mN,s3-b-curves_0221.txt,151445.63478148557,3.250073758406784,362958.8898574823,9452.663795973967,-3.8004986241240735,0.8315276606020727,0.2023554241749835,-0.0007602310723784,199.95144073173037,76.56723710522323,123.38420362650712,0.6170708406750042,0.4492780528118528,261.39939,15.277692,5,mc-matrix
