element,grain_size_um,flow_stress_MPa,plastic_strain,test_method,reference
Cr,81.0,285.0,LYS,CT,59
Cr,67.0,284.0,LYS,CT,59
Cr,62.0,310.0,LYS,CT,59
Cr,59.0,297.0,LYS,CT,59
Cr,36.0,354.0,LYS,CT,59
Cr,31.0,363.0,LYS,CT,59
Cr,56.0,594.0,-,VH,60
Cr,36.0,685.0,-,VH,60
Cr,11.0,731.0,-,VH,60
Cr,8.4,649.0,-,VH,60
Cr,6.2,695.0,-,VH,60
Cr,4.2,804.0,-,VH,60
Cr,4.2,905.0,-,VH,60
Cr,3.1,887.0,-,VH,60
Cr,2.5,951.0,-,VH,60
Cr,0.78,1253.0,-,VH,60
Cr,0.37,1783.0,-,VH,60
Cr,0.34,1920.0,-,VH,60
Cr,0.29,2039.0,-,VH,60
Cr,0.21,2396.0,-,VH,60
Cr,0.15,2680.0,-,VH,60
Cr,0.042,2752.0,-,NH,58
Cr,0.019,3535.0,-,NH,58
Cr,0.022,3359.0,-,NH,58
Cr,0.026,3180.0,-,NH,58
Cr,0.033,2956.0,-,NH,58
Cr,0.057,2510.0,-,NH,58
Cr,82.0,400.0,-,VH,57
Cr,0.17,1667.0,-,VH,57
Cr,0.13,2000.0,-,VH,57
Nb,444.0,73.0,LYS,TT,29
Nb,118.0,88.0,LYS,TT,29
Nb,99.0,102.0,LYS,TT,29
Nb,55.0,113.0,LYS,TT,29
Nb,32.0,117.0,LYS,TT,29
Nb,331.0,60.0,LYS,TT,27
Nb,332.0,62.0,LYS,TT,27
Nb,265.0,62.0,LYS,TT,27
Nb,251.0,61.0,LYS,TT,27
Nb,279.0,59.0,LYS,TT,27
Nb,79.0,76.0,LYS,TT,27
Nb,94.0,81.0,LYS,TT,27
Nb,82.0,84.0,LYS,TT,27
Nb,62.0,83.0,LYS,TT,27
Nb,55.0,84.0,LYS,TT,27
Nb,53.0,88.0,LYS,TT,27
Nb,44.0,86.0,LYS,TT,27
Nb,42.0,86.0,LYS,TT,27
Nb,42.0,88.0,LYS,TT,27
Nb,30.0,102.0,LYS,TT,27
Nb,28.0,99.0,LYS,TT,27
Nb,27.0,105.0,LYS,TT,27
Nb,609.0,180.0,LYS,TT,19
Nb,501.0,171.0,LYS,TT,19
Nb,464.0,181.0,LYS,TT,19
Nb,433.0,177.0,LYS,TT,19
Nb,403.0,174.0,LYS,TT,19
Nb,368.0,189.0,LYS,TT,19
Nb,319.0,184.0,LYS,TT,19
Nb,324.0,178.0,LYS,TT,19
Nb,266.0,185.0,LYS,TT,19
Nb,191.0,182.0,LYS,TT,19
Nb,188.0,195.0,LYS,TT,19
Nb,195.0,204.0,LYS,TT,19
Nb,188.0,202.0,LYS,TT,19
Nb,171.0,201.0,LYS,TT,19
Nb,164.0,205.0,LYS,TT,19
Nb,108.0,206.0,LYS,TT,19
Nb,100.0,207.0,LYS,TT,19
Nb,79.0,219.0,LYS,TT,19
Nb,68.0,211.0,LYS,TT,19
Nb,71.0,223.0,LYS,TT,19
Nb,71.0,225.0,LYS,TT,19
Nb,62.0,231.0,LYS,TT,19
Nb,51.0,243.0,LYS,TT,19
Nb,44.0,243.0,LYS,TT,19
Nb,39.0,239.0,LYS,TT,19
Nb,37.0,257.0,LYS,TT,19
Nb,36.0,253.0,LYS,TT,19
Nb,33.0,250.0,LYS,TT,19
Nb,214.0,164.0,LYS,TT,20
Nb,202.0,197.0,LYS,TT,20
Nb,8.6,193.0,LYS,TT,20
Nb,8.7,248.0,LYS,TT,20
Nb,6.6,253.0,LYS,TT,20
Nb,0.11,843.0,-,VH,22
Nb,0.11,806.0,-,VH,22
Nb,0.1,600.0,-,VH,22
Nb,0.96,436.0,-,VH,22
Nb,1.5,426.0,-,VH,22
Nb,0.075,1600.0,-,VH,28
Nb,0.08,1376.0,-,VH,28
Nb,0.09,1230.0,-,VH,28
Nb,0.115,1200.0,-,VH,28
Nb,0.21,1146.0,-,VH,28
Nb,0.113,843.0,-,VH,21
Nb,0.115,806.0,-,VH,21
Nb,0.1,600.0,-,VH,21
Nb,0.965,436.0,-,VH,21
Nb,0.161,836.0,-,VH,21
Nb,0.129,784.0,-,VH,21
Nb,0.237,512.0,-,VH,21
Nb,1.09,383.0,-,VH,21
Nb,0.91,350.0,-,VH,21
Nb,875.0,163.0,LYS,TT,23
Nb,807.0,158.0,LYS,TT,23
Nb,92.0,167.0,LYS,TT,23
Nb,29.0,180.0,LYS,TT,23
Nb,29.0,185.0,LYS,TT,23
Nb,483.0,134.0,LYS,TT,24
Nb,220.0,137.0,LYS,TT,24
Nb,218.0,140.0,LYS,TT,24
Nb,44.0,146.0,LYS,TT,24
Nb,44.0,154.0,LYS,TT,24
Nb,1342.0,135.0,LYS,TT,25
Nb,48.0,149.0,LYS,TT,25
Nb,163.0,180.0,LYS,TT,26
Nb,140.0,157.0,LYS,TT,26
Nb,80.0,169.0,LYS,TT,26
Nb,63.0,136.0,LYS,TT,26
Nb,44.0,141.0,LYS,TT,26
Nb,37.0,173.0,LYS,TT,26
Mo,259.0,234.0,LYS,TT,61
Mo,259.0,218.0,LYS,TT,61
Mo,222.0,234.0,LYS,TT,61
Mo,224.0,214.0,LYS,TT,61
Mo,108.0,240.0,LYS,TT,61
Mo,108.0,217.0,LYS,TT,61
Mo,73.0,334.0,LYS,TT,61
Mo,74.0,302.0,LYS,TT,61
Mo,66.0,308.0,LYS,TT,61
Mo,64.0,338.0,LYS,TT,61
Mo,64.0,285.0,LYS,TT,61
Mo,56.0,334.0,LYS,TT,61
Mo,56.0,318.0,LYS,TT,61
Mo,56.0,380.0,LYS,TT,61
Mo,42.0,389.0,LYS,TT,61
Mo,43.0,373.0,LYS,TT,61
Mo,32.0,389.0,LYS,TT,61
Mo,32.0,435.0,LYS,TT,61
Mo,451.0,176.0,LYS,TT,62
Mo,365.0,168.0,LYS,TT,62
Mo,404.0,159.0,LYS,TT,62
Mo,331.0,160.0,LYS,TT,62
Mo,275.0,176.0,LYS,TT,62
Mo,205.0,170.0,LYS,TT,62
Mo,165.0,183.0,LYS,TT,62
Mo,139.0,178.0,LYS,TT,62
Mo,419.0,134.0,LYS,TT,62
Mo,301.0,150.0,LYS,TT,62
Mo,44.0,236.0,LYS,TT,62
Mo,60.0,254.0,LYS,TT,62
Mo,47.0,263.0,LYS,TT,62
Mo,35.0,292.0,LYS,TT,62
Mo,38.0,304.0,LYS,TT,62
Mo,33.0,316.0,LYS,TT,62
Mo,31.0,322.0,LYS,TT,62
Mo,28.0,335.0,LYS,TT,62
Mo,28.0,321.0,LYS,TT,62
Mo,27.0,321.0,LYS,TT,62
Mo,482.0,135.0,LYS,TT,63
Mo,81.0,239.0,LYS,TT,63
Mo,19.0,377.0,LYS,TT,63
Mo,77.0,358.0,UTS,TT,64
Mo,13.0,390.0,UTS,TT,64
Mo,10.0,564.0,UTS,TT,64
Mo,7.0,629.0,UTS,TT,64
Mo,6.0,618.0,UTS,TT,64
Mo,3.8,726.0,UTS,TT,64
Mo,4.3,813.0,UTS,TT,64
Mo,3.5,943.0,UTS,TT,64
Mo,3.0,867.0,UTS,TT,64
Mo,2.5,965.0,UTS,TT,64
Mo,1.6,1399.0,UTS,TT,64
Mo,1.3,1311.0,UTS,TT,64
Mo,0.86,1636.0,UTS,TT,64
Mo,0.17,1832.0,-,VH,65
Mo,0.09,2264.0,-,VH,65
Mo,0.08,2318.0,-,VH,65
Mo,0.08,2882.0,-,VH,65
Mo,0.04,3772.0,-,VH,65
Mo,0.04,3745.0,-,VH,65
Mo,0.03,3423.0,-,VH,65
Mo,0.02,3909.0,-,VH,65
Mo,517.0,229.0,LYS,TT,66
Mo,260.0,240.0,LYS,TT,66
Mo,33.0,376.0,LYS,TT,66
Mo,33.0,374.0,LYS,TT,66
Ta,3862.0,142.0,LYS,TT,31
Ta,3685.0,133.0,LYS,TT,31
Ta,2548.0,139.0,LYS,TT,31
Ta,2551.0,150.0,LYS,TT,31
Ta,74.0,166.0,LYS,TT,31
Ta,64.0,165.0,LYS,TT,31
Ta,55.0,194.0,LYS,TT,31
Ta,43.0,189.0,LYS,TT,31
Ta,39.0,196.0,LYS,TT,31
Ta,35.0,214.0,LYS,TT,31
Ta,34.0,209.0,LYS,TT,31
Ta,32.0,194.0,LYS,TT,31
Ta,27.0,217.0,LYS,TT,31
Ta,23.0,229.0,LYS,TT,31
Ta,20.0,232.0,LYS,TT,31
Ta,18.0,221.0,LYS,TT,31
Ta,1.2,678.0,0.002,TT,14
