*Hardness measurements were converted to stress measurements by dividing the hardness by 3					
"**LYS = lower yield stress, no strain given for hardness measurements"					
"***TT = tension test, CT = compression test, NH = nanoindentation, VH = Vickers hardness, MDBT = miniaturized disk bend test"					
					
					
element	grain size (µm)	flow stress (MPa)*	plastic strain**	test method***	reference
V	1.56	510	0.002	TT	14
V	1.25	525	0.002	TT	14
V	1.19	532	0.002	TT	14
V	1.19	552	0.002	TT	14
V	1.26	555	0.002	TT	14
V	1.07	554	0.002	TT	14
V	1.07	531	0.002	TT	14
V	0.93	595	0.002	TT	14
V	0.59	713	0.002	TT	14
V	0.55	753	0.002	TT	14
V	0.56	749	0.002	TT	14
V	124	183	0.002	TT	15
V	25	211	0.002	TT	15
V	3.3	250	0.002	TT	15
V	1.7	279	0.002	TT	15
V	1.2	365	0.002	TT	15
V	1	382	0.002	TT	15
V	0.7	451	0.002	TT	15
V	0.5	508	0.002	TT	15
V	0.23	643	0.002	TT	15
V	0.14	769	0.002	TT	15
V	12.7	284	0.002	TT	16
V	15.1	268	0.002	TT	16
V	15.9	273	0.002	TT	16
V	16.1	272	0.002	TT	16
V	16.7	271	0.002	TT	16
V	17.5	234	0.002	TT	16
V	20.3	262	0.002	TT	16
V	29.5	248	0.002	TT	16
V	38.5	243	0.002	TT	16
V	50	233	0.002	TT	16
V	167	214	0.002	TT	16
V	366	210	0.002	TT	16
V	171	137	LYS	TT	17
V	106	149	LYS	TT	17
V	103	143	LYS	TT	17
V	61	158	LYS	TT	17
V	61	168	LYS	TT	17
V	40	167	LYS	TT	17
V	26	181	LYS	TT	17
V	26	187	LYS	TT	17
V	0.1	2000	0.002	CT	18
Cr	1136	236	LYS	CT	59
Cr	208	241	LYS	CT	59
Cr	162	265	LYS	CT	59
Cr	95	266	LYS	CT	59
Cr	93	277	LYS	CT	59
Cr	81	285	LYS	CT	59
Cr	67	284	LYS	CT	59
Cr	62	310	LYS	CT	59
Cr	59	297	LYS	CT	59
Cr	36	354	LYS	CT	59
Cr	31	363	LYS	CT	59
Cr	56	594	-	VH	60
Cr	36	685	-	VH	60
Cr	11	731	-	VH	60
Cr	8.4	649	-	VH	60
Cr	6.2	695	-	VH	60
Cr	4.2	804	-	VH	60
Cr	4.2	905	-	VH	60
Cr	3.1	887	-	VH	60
Cr	2.5	951	-	VH	60
Cr	0.78	1253	-	VH	60
Cr	0.37	1783	-	VH	60
Cr	0.34	1920	-	VH	60
Cr	0.29	2039	-	VH	60
Cr	0.21	2396	-	VH	60
Cr	0.15	2680	-	VH	60
Cr	0.042	2752	-	NH	58
Cr	0.019	3535	-	NH	58
Cr	0.022	3359	-	NH	58
Cr	0.026	3180	-	NH	58
Cr	0.033	2956	-	NH	58
Cr	0.057	2510	-	NH	58
Cr	82	400	-	VH	57
Cr	0.17	1667	-	VH	57
Cr	0.13	2000	-	VH	57
Nb	444	73	LYS	TT	29
Nb	118	88	LYS	TT	29
Nb	99	102	LYS	TT	29
Nb	55	113	LYS	TT	29
Nb	32	117	LYS	TT	29
Nb	331	60	LYS	TT	27
Nb	332	62	LYS	TT	27
Nb	265	62	LYS	TT	27
Nb	251	61	LYS	TT	27
Nb	279	59	LYS	TT	27
Nb	79	76	LYS	TT	27
Nb	94	81	LYS	TT	27
Nb	82	84	LYS	TT	27
Nb	62	83	LYS	TT	27
Nb	55	84	LYS	TT	27
Nb	53	88	LYS	TT	27
Nb	44	86	LYS	TT	27
Nb	42	86	LYS	TT	27
Nb	42	88	LYS	TT	27
Nb	30	102	LYS	TT	27
Nb	28	99	LYS	TT	27
Nb	27	105	LYS	TT	27
Nb	609	180	LYS	TT	19
Nb	501	171	LYS	TT	19
Nb	464	181	LYS	TT	19
Nb	433	177	LYS	TT	19
Nb	403	174	LYS	TT	19
Nb	368	189	LYS	TT	19
Nb	319	184	LYS	TT	19
Nb	324	178	LYS	TT	19
Nb	266	185	LYS	TT	19
Nb	191	182	LYS	TT	19
Nb	188	195	LYS	TT	19
Nb	195	204	LYS	TT	19
Nb	188	202	LYS	TT	19
Nb	171	201	LYS	TT	19
Nb	164	205	LYS	TT	19
Nb	108	206	LYS	TT	19
Nb	100	207	LYS	TT	19
Nb	79	219	LYS	TT	19
Nb	68	211	LYS	TT	19
Nb	71	223	LYS	TT	19
Nb	71	225	LYS	TT	19
Nb	62	231	LYS	TT	19
Nb	51	243	LYS	TT	19
Nb	44	243	LYS	TT	19
Nb	39	239	LYS	TT	19
Nb	37	257	LYS	TT	19
Nb	36	253	LYS	TT	19
Nb	33	250	LYS	TT	19
Nb	214	164	LYS	TT	20
Nb	202	197	LYS	TT	20
Nb	8.6	193	LYS	TT	20
Nb	8.7	248	LYS	TT	20
Nb	6.6	253	LYS	TT	20
Nb	0.11	843	-	VH	22
Nb	0.11	806	-	VH	22
Nb	0.1	600	-	VH	22
Nb	0.96	436	-	VH	22
Nb	1.5	426	-	VH	22
